Level of Ed.,ISCED,Age,Total,Male,Female
Total education ceased and not ceased,NA,15 years,61643,31483,30160
Total education ceased and not ceased,NA,16 years,60989,31183,29806
Total education ceased and not ceased,NA,17 years,61318,31540,29778
Total education ceased and not ceased,NA,18 years,61294,31383,29911
Total education ceased and not ceased,NA,19 years,57572,29319,28253
Total education ceased and not ceased,NA,20 years,56337,28508,27829
Total education ceased and not ceased,NA,21 years,54397,27407,26990
Total education ceased and not ceased,NA,22 years,54352,27326,27026
Total education ceased and not ceased,NA,23 years,53935,27272,26663
Total education ceased and not ceased,NA,24 years,54615,27071,27544
Total education ceased and not ceased,NA,25 years,57278,28794,28484
Total education ceased and not ceased,NA,26 years,56257,27683,28574
Total education ceased and not ceased,NA,27 years,61652,30239,31413
Total education ceased and not ceased,NA,28 years,59456,28452,31004
Total education ceased and not ceased,NA,29 years,62792,30054,32738
Total education ceased and not ceased,NA,30 years,68347,32752,35595
Total education ceased and not ceased,NA,31 years,68334,32801,35533
Total education ceased and not ceased,NA,32 years,71772,34210,37562
Total education ceased and not ceased,NA,33 years,75704,35990,39714
Total education ceased and not ceased,NA,34 years,77818,37426,40392
Total education ceased and not ceased,NA,35 years,81545,39840,41705
Total education ceased and not ceased,NA,36 years,83196,40892,42304
Total education ceased and not ceased,NA,37 years,77184,37494,39690
Total education ceased and not ceased,NA,38 years,74681,36818,37863
Total education ceased and not ceased,NA,39 years,72815,36001,36814
Total education ceased and not ceased,NA,40 years,73414,36521,36893
Total education ceased and not ceased,NA,41 years,71974,35674,36300
Total education ceased and not ceased,NA,42 years,71172,35307,35865
Total education ceased and not ceased,NA,43 years,71288,35450,35838
Total education ceased and not ceased,NA,44 years,69612,34530,35082
Total education ceased and not ceased,NA,45 years,70457,35243,35214
Total education ceased and not ceased,NA,46 years,67208,33525,33683
Total education ceased and not ceased,NA,47 years,63640,31932,31708
Total education ceased and not ceased,NA,48 years,62946,31315,31631
Total education ceased and not ceased,NA,49 years,61859,30809,31050
Total education ceased and not ceased,NA,50 years,61988,30765,31223
Total education ceased and not ceased,NA,51 years,61798,30446,31352
